studentID,customerID,grade_level,attendance_percentage,gpa_average,parent_engagement,tuition_status,tenure,MonthlyCharges,TotalCharges,SeniorCitizen,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod
STU-1001,STU-1001,Grade 11,64.5,2.23,High,Pending,66,370.0,24420.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1002,STU-1002,Grade 2,81.0,3.01,High,Paid,12,190.0,2280.0,0,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1003,STU-1003,Grade 5,88.4,2.34,Low,Pending,30,250.0,7500.0,0,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1004,STU-1004,Grade 7,75.4,3.18,Medium,Installment Plan,42,290.0,12180.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1005,STU-1005,Grade 7,95.6,2.31,Low,Installment Plan,42,290.0,12180.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1006,STU-1006,Grade 7,95.8,2.64,High,Paid,42,290.0,12180.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1007,STU-1007,Grade 8,94.6,2.78,Low,Paid,48,310.0,14880.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1008,STU-1008,Grade 9,77.0,2.8,Medium,Pending,54,330.0,17820.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1009,STU-1009,Grade 12,95.2,3.49,Low,Installment Plan,72,390.0,28080.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1010,STU-1010,Grade 7,76.3,3.79,High,Paid,42,290.0,12180.0,0,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1011,STU-1011,Grade 1,99.2,2.37,Medium,Installment Plan,6,170.0,1020.0,0,Female,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1012,STU-1012,Grade 11,85.9,3.86,Low,Pending,66,370.0,24420.0,0,Female,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1013,STU-1013,Grade 11,88.9,2.83,High,Pending,66,370.0,24420.0,0,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1014,STU-1014,Grade 3,64.0,2.74,Low,Paid,18,210.0,3780.0,0,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1015,STU-1015,Grade 2,68.3,2.15,Low,Pending,12,190.0,2280.0,0,Female,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1016,STU-1016,Grade 12,84.0,3.15,High,Paid,72,390.0,28080.0,0,Female,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
STU-1017,STU-1017,Grade 5,81.4,3.66,Medium,Paid,30,250.0,7500.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1018,STU-1018,Grade 5,65.7,3.98,Low,Paid,30,250.0,7500.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1019,STU-1019,Grade 9,63.6,2.54,Low,Pending,54,330.0,17820.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1020,STU-1020,Grade 2,67.3,3.53,Low,Paid,12,190.0,2280.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1021,STU-1021,Grade 6,62.0,2.05,Low,Pending,36,270.0,9720.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1022,STU-1022,Grade 7,66.2,1.99,Medium,Pending,42,290.0,12180.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1023,STU-1023,Grade 5,62.6,2.63,High,Paid,30,250.0,7500.0,0,Female,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1024,STU-1024,Grade 3,60.2,3.57,Medium,Installment Plan,18,210.0,3780.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
